pricestr,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,Hybrid
$2995,chicago,chicago S,2003 Toyota Camry LE,NA,NA,fwd,gas,16.5533,silver,NA,automatic,sedan,1,2995,8.0046997,2003,15,2.8065856,1,0,0,0
$2700,chicago,chicago city,2003 Toyota Camry,NA,4 cylinders,NA,gas,14.08167171478271,NA,NA,automatic,NA,0,2700,7.9010072,2003,15,2.6448741,0,0,0,0
$5249,chicago,chicago suburbs,1999 toyota camry,excellent,6 cylinders,NA,gas,11.4,NA,NA,automatic,sedan,0,5249,8.565793,1999,19,2.4336133,0,0,0,0
$12995,chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,2.5929,black,NA,automatic,sedan,1,12995,9.4723196,2015,3,.95277697,0,0,0,0
$3000,chicago,chicago city,2002 toyota camry solara,excellent,6 cylinders,NA,gas,15,blue,compact,automatic,coupe,0,3000,8.0063677,2002,16,2.7080503,0,0,0,0
$16257,chicago,chicago suburbs,2015 Toyota Camry,NA,4 cylinders,fwd,gas,1.5955,silver,mid-size,automatic,sedan,1,16257,9.6962786,2015,3,.46718717,0,0,0,0
$15910,chicago,chicago city,2015 Toyota Camry,NA,4 cylinders,fwd,gas,3.1078,silver,NA,automatic,sedan,1,15910,9.6747036,2015,3,1.1339151,0,0,0,0
$9700,chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,6.4628,black,NA,automatic,sedan,1,9700,9.1798811,2011,7,1.8660626,0,0,0,0
$11995,chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,7.1225,black,NA,automatic,sedan,1,11995,9.3922453,2015,3,1.9632587,0,0,0,0
$14991,chicago,chicago city,2014 Toyota Camry,NA,4 cylinders,fwd,gas,4.7536,silver,mid-size,automatic,sedan,1,14991,9.6152058,2014,4,1.5589023,0,0,0,0
$15966,chicago,chicago suburbs,2015 Toyota Camry,NA,4 cylinders,fwd,gas,1.6867,grey,mid-size,automatic,sedan,1,15966,9.6782169,2015,3,.52277398,0,0,0,0
$6700,chicago,chicago suburbs,2007 Toyota Camry se,excellent,4 cylinders,fwd,gas,13.1,silver,mid-size,automatic,sedan,0,6700,8.8098631,2007,11,2.5726123,0,0,1,0
$6997,chicago,chicago suburbs,2008 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,13.6864,custom,mid-size,automatic,sedan,1,6997,8.8532372,2008,10,2.6164026,0,0,0,1
$985,chicago,chicago city,1995 toyota camry,like new,4 cylinders,NA,gas,20.04253387451172,NA,NA,automatic,NA,0,985,6.8926415,1995,23,2.9978566,0,0,0,0
$1200,chicago,chicago city,1999 toyota camry,excellent,4 cylinders,NA,gas,25.3,NA,full-size,automatic,NA,0,1200,7.0900769,1999,19,3.2308044,0,0,0,0
$7900,chicago,chicago N,2009 toyota camry,excellent,4 cylinders,fwd,gas,118,red,full-size,automatic,NA,0,7900,8.974618,2009,9,4.7706847,0,0,0,0
$6500,chicago,chicago city,2007 Toyota Camry,good,4 cylinders,NA,gas,11.62693023681641,NA,NA,automatic,NA,0,6500,8.7795572,2007,11,2.4533241,0,0,0,0
$16489,chicago,chicago W,2014 toyota camry,like new,4 cylinders,fwd,gas,2.4691,grey,full-size,automatic,sedan,0,16489,9.7104492,2014,4,.90385371,0,0,0,0
$3950,chicago,chicago N,2007 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,18.23,blue,mid-size,automatic,sedan,1,3950,8.2814713,2007,11,2.9030685,0,0,0,1
$14000,chicago,chicago city,2013 Toyota Camry,good,4 cylinders,NA,gas,5.0608,red,NA,automatic,NA,0,14000,9.546813,2013,5,1.6215246,0,0,0,0
$4000,chicago,chicago W,2002 toyota camry le 4dr sedan,good,6 cylinders,fwd,gas,15.9282,red,NA,automatic,sedan,0,4000,8.2940493,2002,16,2.7680912,1,0,1,0
$1695,chicago,chicago W,2000 toyota camry le,good,4 cylinders,fwd,gas,18.3973,NA,NA,automatic,sedan,0,1695,7.4354382,2000,18,2.912204,1,0,0,0
$985,chicago,chicago city,1995 toyota camry,like new,NA,NA,gas,20.04253387451172,NA,NA,automatic,NA,0,985,6.8926415,1995,23,2.9978566,0,0,0,0
$14487,chicago,chicago suburbs,2014 Toyota Camry,excellent,6 cylinders,fwd,gas,4.902,silver,NA,automatic,sedan,1,14487,9.581007,2014,4,1.5896432,0,0,0,0
$2100,chicago,chicago city,1998 toyota camry,NA,4 cylinders,fwd,gas,16.82425880432129,white,NA,automatic,NA,0,2100,7.6496925,1998,20,2.8228219,0,0,0,0
$14388,chicago,chicago suburbs,2012 Toyota Camry,NA,4 cylinders,fwd,gas,5.7619,custom,mid-size,automatic,sedan,1,14388,9.5741501,2012,6,1.7512673,0,0,0,0
$14590,chicago,chicago city,2016 Toyota Camry  LE    2016,new,4 cylinders,fwd,gas,4.8192,white,NA,automatic,NA,0,14590,9.5880919,2016,2,1.572608,1,0,0,0
$16499,chicago,chicago city,2017 TOYOTA CAMRY,NA,NA,fwd,gas,2.9439,black,NA,automatic,sedan,1,16499,9.7110548,2017,1,1.0797353,0,0,0,0
$6300,chicago,chicago suburbs,2006 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,10,white,mid-size,automatic,sedan,1,6300,8.7483053,2006,12,2.3025851,0,0,0,0
$11700,chicago,chicago suburbs,2014 Toyota Camry SE,good,4 cylinders,fwd,gas,4.3,grey,NA,automatic,sedan,0,11700,9.3673439,2014,4,1.4586151,0,0,1,0
$14388,chicago,chicago N,2012 Toyota Camry,NA,4 cylinders,fwd,gas,5.7619,custom,mid-size,automatic,sedan,1,14388,9.5741501,2012,6,1.7512673,0,0,0,0
$1600,chicago,chicago city,2001 Toyota Camry,NA,NA,NA,gas,16.20146942138672,NA,NA,automatic,NA,0,1600,7.377759,2001,17,2.7851019,0,0,0,0
$12322,chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,6.0499,NA,NA,automatic,sedan,1,12322,9.4191418,2015,3,1.8000418,0,0,0,0
$3000,chicago,chicago city,2002 Toyota Camry,NA,4 cylinders,NA,gas,16.84,NA,NA,automatic,NA,0,3000,8.0063677,2002,16,2.8237569,0,0,0,0
$7499,chicago,chicago suburbs,2009 Toyota Camry,NA,4 cylinders,NA,gas,13.04,red,NA,automatic,sedan,1,7499,8.9225254,2009,9,2.5680215,0,0,0,0
$8800,chicago,chicago suburbs,2005 toyota camry le,like new,4 cylinders,fwd,gas,6.4339,grey,mid-size,automatic,sedan,0,8800,9.0825071,2005,13,1.8615808,1,0,0,0
$5577,chicago,chicago W,2009 toyota camry hybrid,NA,NA,NA,gas,16.45036315917969,NA,NA,automatic,NA,1,5577,8.6264067,2009,9,2.8003476,0,0,0,1
$2500,chicago,chicago N,2005 Toyota Camry V6,excellent,6 cylinders,fwd,gas,20.12,silver,mid-size,automatic,sedan,1,2500,7.8240461,2005,13,3.0017142,0,0,0,0
$4800,chicago,chicago suburbs,2007 Toyota Camry,NA,4 cylinders,fwd,gas,17.9758,silver,NA,automatic,sedan,1,4800,8.4763708,2007,11,2.8890264,0,0,0,0
$2995,chicago,chicago W,2001 TOYOTA CAMRY,NA,NA,fwd,other,15.5447,green,NA,automatic,sedan,1,2995,8.0046997,2001,17,2.7437198,0,0,0,0
$8995,chicago,chicago suburbs,2011 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,10,grey,mid-size,automatic,sedan,1,8995,9.1044245,2011,7,2.3025851,0,0,0,0
$14990,chicago,chicago W,2015 Toyota Camry,NA,4 cylinders,fwd,gas,5.5396,black,NA,automatic,sedan,1,14990,9.615139,2015,3,1.7119223,0,0,0,0
$12500,chicago,chicago suburbs,2006 TOYOTA CAMRY SE,good,4 cylinders,fwd,gas,8.430400000000001,silver,full-size,automatic,sedan,1,12500,9.4334841,2006,12,2.1318443,0,0,1,0
$1600,chicago,chicago city,2001 toyota camry le,NA,NA,NA,gas,16.20146942138672,NA,NA,automatic,NA,0,1600,7.377759,2001,17,2.7851019,1,0,0,0
$2500,chicago,chicago city,2004 toyota camry solara,NA,NA,NA,gas,15.40804576873779,NA,NA,automatic,NA,0,2500,7.8240461,2004,14,2.7348897,0,0,0,0
$10695,chicago,chicago city,2011 toyota camry le,NA,NA,fwd,gas,6.0154,NA,NA,automatic,NA,0,10695,9.2775316,2011,7,1.7943228,1,0,0,0
$3999,chicago,chicago suburbs,2006 TOYOTA CAMRY LE,NA,4 cylinders,NA,gas,14.155,red,NA,automatic,sedan,1,3999,8.2937994,2006,12,2.6500678,1,0,0,0
$4500,chicago,chicago N,2007 toyota camry,good,NA,NA,hybrid,11.62693023681641,NA,NA,automatic,NA,0,4500,8.4118328,2007,11,2.4533241,0,0,0,0
$4500,chicago,chicago N,2005 toyota camry le,NA,NA,NA,gas,9.5,NA,NA,automatic,NA,0,4500,8.4118328,2005,13,2.2512918,1,0,0,0
$16950,chicago,chicago N,2015 toyota camry hybrid,excellent,4 cylinders,fwd,gas,4.6681,blue,NA,automatic,sedan,0,16950,9.7380228,2015,3,1.5407522,0,0,0,1
$4995,chicago,chicago S,2009 Toyota Camry,NA,NA,fwd,gas,14.5777,silver,NA,automatic,sedan,1,4995,8.5161924,2009,9,2.679493,0,0,0,0
$8995,chicago,chicago suburbs,2011 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,9.9999,grey,mid-size,automatic,sedan,1,8995,9.1044245,2011,7,2.3025751,0,0,0,0
$11988,chicago,chicago city,2013 TOYOTA CAMRY,NA,NA,fwd,gas,6.7513,black,NA,automatic,sedan,1,11988,9.3916616,2013,5,1.9097351,0,0,0,0
$1650,chicago,chicago city,1999 toyota camry le,good,4 cylinders,fwd,gas,16.43,NA,NA,automatic,sedan,0,1650,7.4085307,1999,19,2.799109,1,0,0,0
$3590,chicago,chicago W,2002 toyota camry,good,6 cylinders,fwd,gas,12.8,brown,full-size,automatic,sedan,0,3590,8.1859074,2002,16,2.5494452,0,0,0,0
$8980,chicago,chicago suburbs,2006 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,3.8,grey,mid-size,automatic,sedan,1,8980,9.1027555,2006,12,1.3350011,0,0,0,0
$3990,chicago,chicago city,2002 toyota camry le,like new,6 cylinders,fwd,gas,14.1,black,mid-size,automatic,sedan,1,3990,8.2915468,2002,16,2.6461749,1,0,0,0
$10988,chicago,chicago city,2012 TOYOTA CAMRY,NA,NA,fwd,gas,7.7938,blue,NA,automatic,sedan,1,10988,9.3045588,2012,6,2.0533285,0,0,0,0
$11900,chicago,NA,2014 Toyota Camry,NA,4 cylinders,fwd,gas,6.7393,red,NA,automatic,sedan,1,11900,9.3842936,2014,4,1.907956,0,0,0,0
$1000,chicago,chicago city,1997 toyota camry xle,NA,4 cylinders,fwd,gas,24,blue,NA,automatic,NA,0,1000,6.9077554,1997,21,3.1780539,0,1,0,0
$6950,chicago,chicago suburbs,2007 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,13.9987,blue,full-size,automatic,sedan,0,6950,8.8464966,2007,11,2.6389644,0,0,0,1
$11500,chicago,chicago S,2012 toyota camry se,like new,4 cylinders,NA,gas,11.3,black,NA,automatic,NA,0,11500,9.3501024,2012,6,2.4248028,0,0,1,0
$800,chicago,chicago N,1998 toyota camry,good,4 cylinders,fwd,gas,22,NA,mid-size,automatic,NA,0,800,6.6846118,1998,20,3.0910425,0,0,0,0
$1100,chicago,indiana NW,1997 Toyota Camry XLE,good,6 cylinders,NA,gas,21.9,white,NA,automatic,sedan,0,1100,7.0030656,1997,21,3.0864866,0,1,0,0
$9977,chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,6.4628,black,NA,automatic,sedan,1,9977,9.2080374,2011,7,1.8660626,0,0,0,0
$10883,chicago,chicago city,2013 TOYOTA CAMRY,NA,NA,fwd,gas,7.2006,NA,NA,automatic,sedan,1,10883,9.2949572,2013,5,1.9741644,0,0,0,0
$9300,chicago,chicago city,2007 TOYOTA CAMRY V6 XLE,like new,6 cylinders,fwd,gas,5,silver,NA,automatic,sedan,0,9300,9.1377697,2007,11,1.6094379,0,1,0,0
$2595,chicago,chicago city,2002 Toyota Camry LE 4dr,NA,NA,NA,gas,14.32672119140625,NA,NA,automatic,NA,0,2595,7.861342,2002,16,2.6621263,1,0,0,0
$14900,chicago,chicago S,2014 toyota camry xle,excellent,4 cylinders,fwd,gas,2.389,silver,mid-size,automatic,sedan,0,14900,9.6091166,2014,4,.87087488,0,1,0,0
$3999,chicago,chicago S,2003 TOYOTA CAMRY,NA,6 cylinders,NA,gas,14.6651,white,NA,automatic,coupe,1,3999,8.2937994,2003,15,2.6854706,0,0,0,0
$14991,chicago,chicago N,2014 Toyota Camry,NA,4 cylinders,fwd,gas,4.7536,silver,mid-size,automatic,sedan,1,14991,9.6152058,2014,4,1.5589023,0,0,0,0
$5500,chicago,chicago city,2007 toyota camry,NA,4 cylinders,NA,gas,11.62693023681641,NA,NA,automatic,sedan,0,5500,8.6125031,2007,11,2.4533241,0,0,0,0
$14695,chicago,chicago S,2014 Toyota - Camry,excellent,other,NA,other,4.7853,custom,NA,other,sedan,1,14695,9.5952625,2014,4,1.5655488,0,0,0,0
$2300,chicago,chicago W,2005 toyota camry,good,6 cylinders,fwd,gas,18.65,grey,mid-size,automatic,NA,0,2300,7.7406645,2005,13,2.9258461,0,0,0,0
$9900,chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,6.4628,black,NA,automatic,sedan,1,9900,9.2002897,2011,7,1.8660626,0,0,0,0
$650,chicago,chicago city,1991 toyota camry,good,4 cylinders,fwd,gas,14,NA,NA,automatic,NA,0,650,6.4769726,1991,27,2.6390574,0,0,0,0
$4000,chicago,chicago city,2006 toyota camry,good,4 cylinders,NA,gas,15,black,full-size,automatic,sedan,0,4000,8.2940493,2006,12,2.7080503,0,0,0,0
$550,chicago,chicago S,1998 toyota camry le,NA,4 cylinders,NA,gas,14.5,black,mid-size,automatic,sedan,0,550,6.3099184,1998,20,2.6741486,1,0,0,0
$2799,chicago,chicago city,2000 toyota camry,excellent,4 cylinders,NA,gas,16.83345794677734,green,NA,automatic,NA,0,2799,7.9370174,2000,18,2.8233685,0,0,0,0
$6999,chicago,chicago S,2011 toyota camry le,good,NA,NA,gas,14.2,NA,NA,automatic,NA,0,6999,8.8535223,2011,7,2.6532419,1,0,0,0
$3400,chicago,chicago suburbs,2001 toyota camry,like new,NA,NA,gas,16.20146942138672,NA,NA,automatic,NA,0,3400,8.1315308,2001,17,2.7851019,0,0,0,0
$1790,chicago,chicago city,1999 toyota camry le,excellent,4 cylinders,fwd,gas,13.3,silver,mid-size,automatic,sedan,1,1790,7.4899707,1999,19,2.587764,1,0,0,0
$2200,chicago,chicago city,2005 toyota camry xle,NA,NA,NA,gas,14.38425159454346,NA,NA,automatic,NA,0,2200,7.6962128,2005,13,2.6661339,0,1,0,0
$4695,chicago,chicago W,2002 Toyota Camry Solara,NA,NA,NA,gas,14.32672119140625,NA,NA,automatic,NA,0,4695,8.4542532,2002,16,2.6621263,0,0,0,0
$8900,chicago,chicago S,2008 toyota camry,NA,NA,NA,gas,12.54811191558838,NA,NA,automatic,NA,0,8900,9.0938063,2008,10,2.5295701,0,0,0,0
$950,chicago,chicago W,1999 Toyota Camry,fair,NA,NA,gas,21.6,custom,NA,automatic,NA,0,950,6.856462,1999,19,3.0726933,0,0,0,0
$3599,chicago,chicago city,2004 toyota camry xle,NA,NA,NA,gas,15.40804576873779,NA,NA,automatic,NA,0,3599,8.1884117,2004,14,2.7348897,0,1,0,0
$11800,chicago,chicago suburbs,2014 Toyota Camry,good,4 cylinders,fwd,gas,3.154,black,NA,automatic,sedan,0,11800,9.3758545,2014,4,1.1486715,0,0,0,0
$5999,chicago,chicago S,2008 TOYOTA CAMRY SOLARA,NA,4 cylinders,NA,gas,12.9926,NA,NA,automatic,convertible,1,5999,8.6993484,2008,10,2.5643799,0,0,0,0
$850,chicago,chicago suburbs,1994 toyota camry,good,4 cylinders,fwd,gas,17.99,white,full-size,automatic,sedan,0,850,6.7452364,1994,24,2.889816,0,0,0,0
$1450,chicago,chicago suburbs,1998 toyota camry le,good,4 cylinders,fwd,gas,16.82425880432129,grey,full-size,automatic,sedan,0,1450,7.2793188,1998,20,2.8228219,1,0,0,0
$14995,chicago,chicago suburbs,2015 Toyota Camry LE,NA,NA,fwd,gas,9.014699999999999,black,NA,automatic,sedan,1,14995,9.6154718,2015,3,2.1988566,1,0,0,0
$6300,chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,13.2572,silver,full-size,automatic,sedan,1,6300,8.7483053,2009,9,2.5845408,1,0,0,0
$5995,chicago,chicago city,2009 TOYOTA CAMRY LE,good,4 cylinders,fwd,gas,16.45036315917969,black,mid-size,automatic,NA,1,5995,8.6986809,2009,9,2.8003476,1,0,0,0
$6277,chicago,chicago suburbs,2005 Toyota Camry,excellent,4 cylinders,fwd,gas,8.5069,NA,mid-size,automatic,sedan,1,6277,8.744647,2005,13,2.1408775,0,0,0,0
$8300,chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,9.065300000000001,green,full-size,automatic,sedan,1,8300,9.0240107,2011,7,2.2044539,0,1,0,0
$4499,chicago,chicago suburbs,2005 TOYOTA CAMRY SOLARA,NA,8 cylinders,NA,gas,13.65,red,NA,automatic,coupe,1,4499,8.4116106,2005,13,2.6137395,0,0,0,0
$6500,chicago,chicago city,2011 toyota camry le,excellent,4 cylinders,fwd,gas,14,black,compact,automatic,sedan,0,6500,8.7795572,2011,7,2.6390574,1,0,0,0
$6900,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,12.0858,black,NA,automatic,sedan,1,6900,8.8392763,2007,11,2.4920311,0,0,0,1
$2950,chicago,chicago city,2003 Toyota Camry,NA,NA,NA,gas,10.5,NA,NA,automatic,NA,0,2950,7.9895606,2003,15,2.3513753,0,0,0,0
$12000,chicago,chicago city,2010 toyota camry se,NA,NA,NA,gas,14.66399955749512,NA,NA,automatic,NA,0,12000,9.392662,2010,8,2.6853955,0,0,1,0
$12910,chicago,chicago city,2012 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,11.6464,black,NA,automatic,sedan,1,12910,9.4657574,2012,6,2.4549971,0,0,0,1
$1800,chicago,chicago city,2002 toyota camry le,NA,4 cylinders,fwd,gas,14.32672119140625,silver,full-size,automatic,sedan,0,1800,7.495542,2002,16,2.6621263,1,0,0,0
$2098,chicago,chicago city,2003 toyota camry,good,4 cylinders,fwd,gas,18.9,NA,NA,automatic,sedan,0,2098,7.6487398,2003,15,2.939162,0,0,0,0
$12800,chicago,chicago city,2014 Toyota Camry,NA,NA,NA,gas,4.791686534881592,NA,NA,automatic,NA,0,12800,9.4572001,2014,4,1.5668825,0,0,0,0
$4500,chicago,chicago city,2007 Toyota Camry Solara Sport,NA,NA,NA,gas,11.62693023681641,NA,NA,automatic,NA,0,4500,8.4118328,2007,11,2.4533241,0,0,0,0
$8942,chicago,chicago city,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,6.2999,black,mid-size,automatic,sedan,1,8942,9.0985146,2007,11,1.8405337,0,0,0,0
$700,chicago,chicago suburbs,1994 toyota camry,good,4 cylinders,fwd,gas,17.99,white,full-size,automatic,sedan,0,700,6.5510802,1994,24,2.889816,0,0,0,0
$6500,chicago,chicago city,2011 toyota camry,like new,4 cylinders,fwd,gas,12.5,white,compact,automatic,sedan,0,6500,8.7795572,2011,7,2.5257287,0,0,0,0
$8888,chicago,chicago city,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,6.2999,black,mid-size,automatic,sedan,1,8888,9.0924578,2007,11,1.8405337,0,0,0,0
$6350,chicago,chicago W,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,11.5515,silver,mid-size,automatic,sedan,1,6350,8.7562103,2007,11,2.4468153,0,0,0,0
$3700,chicago,chicago city,2004 toyota camry,good,4 cylinders,NA,gas,15.40804576873779,white,NA,automatic,NA,0,3700,8.2160883,2004,14,2.7348897,0,0,0,0
$9750,los angeles,LA westside-southbay,2010 toyota camry,like new,4 cylinders,fwd,gas,4.6,white,full-size,manual,sedan,0,9750,9.1850224,2010,8,1.5260563,0,0,0,0
$2600,chicago,chicago city,2003 toyota camry,excellent,4 cylinders,fwd,gas,14.3,silver,NA,automatic,NA,0,2600,7.8632669,2003,15,2.6602595,0,0,0,0
$4300,chicago,chicago city,2005 toyota camry,excellent,6 cylinders,NA,gas,15.74,silver,NA,automatic,NA,0,4300,8.3663702,2005,13,2.7562053,0,0,0,0
$14995,chicago,chicago city,2016 TOYOTA CAMRY,NA,NA,fwd,gas,4.095,black,NA,automatic,sedan,1,14995,9.6154718,2016,2,1.4097667,0,0,0,0
$500,chicago,chicago city,2014 TOYOTA CAMRY,like new,6 cylinders,fwd,gas,4.791686534881592,black,full-size,automatic,sedan,1,500,6.2146082,2014,4,1.5668825,0,0,0,0
$14000,chicago,chicago city,2013 toyota camry,excellent,NA,NA,gas,3.8,silver,NA,automatic,NA,0,14000,9.546813,2013,5,1.3350011,0,0,0,0
$9999,chicago,chicago city,2012 TOYOTA CAMRY,NA,NA,fwd,gas,10.8722,silver,NA,automatic,sedan,1,9999,9.2102404,2012,6,2.386209,0,0,0,0
$4999,chicago,chicago S,2004 TOYOTA CAMRY  SOLARA,NA,6 cylinders,NA,gas,7.8,white,NA,automatic,sedan,1,4999,8.5169935,2004,14,2.0541236,0,0,0,0
$9995,chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,6.4628,black,NA,automatic,sedan,1,9995,9.2098398,2011,7,1.8660626,0,0,0,0
$3200,chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,15,silver,full-size,automatic,sedan,0,3200,8.0709057,2000,18,2.7080503,0,0,0,0
$12488,chicago,NA,2014 Toyota Camry,NA,4 cylinders,fwd,gas,6.7393,red,NA,automatic,sedan,1,12488,9.4325237,2014,4,1.907956,0,0,0,0
$10995,chicago,chicago city,2011 Toyota Camry,NA,NA,fwd,gas,6.4655,black,NA,automatic,NA,1,10995,9.3051958,2011,7,1.8664804,0,0,0,0
$4900,chicago,chicago W,2006 toyota camry solara,good,4 cylinders,fwd,gas,14.1,silver,mid-size,automatic,coupe,0,4900,8.4969902,2006,12,2.6461749,0,0,0,0
$1500,chicago,chicago suburbs,2000 toyota camry,fair,4 cylinders,fwd,gas,18.62,silver,NA,automatic,sedan,0,1500,7.3132205,2000,18,2.9242363,0,0,0,0
$10000,chicago,chicago W,2011 Toyota Camry,excellent,4 cylinders,fwd,gas,5.3763,black,mid-size,automatic,sedan,1,10000,9.2103405,2011,7,1.6820004,0,0,0,0
$2300,los angeles,San Fernando,1998 toyota camry,excellent,4 cylinders,NA,gas,18.887,NA,NA,automatic,sedan,0,2300,7.7406645,1998,20,2.9384739,0,0,0,0
$3799,chicago,chicago suburbs,2000 TOYOTA CAMRY SOLARA,NA,6 cylinders,NA,gas,11.03,silver,NA,automatic,coupe,1,3799,8.2424936,2000,18,2.4006188,0,0,0,0
$3980,chicago,chicago S,2002 TOYOTA CAMRY LE,good,4 cylinders,fwd,gas,15.5987,silver,full-size,automatic,sedan,0,3980,8.2890368,2002,16,2.7471876,1,0,0,0
$1540,los angeles,San Fernando,2009 toyota camry,good,NA,NA,gas,16.45036315917969,NA,NA,automatic,NA,0,1540,7.3395376,2009,9,2.8003476,0,0,0,0
$15995,chicago,chicago city,2017 TOYOTA CAMRY,NA,NA,fwd,gas,5.4911,silver,NA,automatic,sedan,1,15995,9.6800318,2017,1,1.7031286,0,0,0,0
$780,chicago,chicago city,1999 toyota camry,NA,NA,NA,gas,17.01991844177246,NA,NA,automatic,NA,0,780,6.6592941,1999,19,2.8343844,0,0,0,0
$2100,chicago,chicago S,2001 toyota camry solara,NA,NA,NA,gas,20.8,white,mid-size,automatic,coupe,0,2100,7.6496925,2001,17,3.0349529,0,0,0,0
$2200,chicago,indiana NW,1995 Toyota Camry LE,fair,4 cylinders,fwd,gas,14.7856,brown,mid-size,automatic,sedan,0,2200,7.6962128,1995,23,2.6936538,1,0,0,0
$12750,chicago,chicago suburbs,2014 Toyota Camry,excellent,4 cylinders,fwd,gas,3.3551,blue,NA,automatic,sedan,1,12750,9.4532862,2014,4,1.2104815,0,0,0,0
$9899,chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,6.4628,black,NA,automatic,sedan,1,9899,9.2001886,2011,7,1.8660626,0,0,0,0
$12333,chicago,NA,2014 Toyota Camry,NA,4 cylinders,fwd,gas,6.7393,red,NA,automatic,sedan,1,12333,9.4200335,2014,4,1.907956,0,0,0,0
$4300,chicago,chicago city,2007 toyota camry,NA,4 cylinders,NA,gas,11.62693023681641,NA,NA,automatic,NA,0,4300,8.3663702,2007,11,2.4533241,0,0,0,0
$1899,chicago,chicago city,2000 toyota camry,good,6 cylinders,NA,gas,16.83345794677734,NA,NA,automatic,NA,0,1899,7.5490828,2000,18,2.8233685,0,0,0,0
$9750,los angeles,San Fernando,2010 toyota camry,like new,4 cylinders,fwd,gas,4.6,white,full-size,automatic,sedan,0,9750,9.1850224,2010,8,1.5260563,0,0,0,0
$3299,chicago,chicago S,1998 TOYOTA CAMRY LE,NA,4 cylinders,NA,gas,7.2075,grey,NA,automatic,sedan,1,3299,8.1013746,1998,20,1.9751221,1,0,0,0
$3200,chicago,chicago city,2000 toyota camry le 4dr sedan,good,4 cylinders,fwd,gas,15,silver,full-size,automatic,sedan,0,3200,8.0709057,2000,18,2.7080503,1,0,1,0
$3499,chicago,chicago S,2001 TOYOTA CAMRY,NA,6 cylinders,NA,gas,8.062900000000001,grey,NA,automatic,sedan,1,3499,8.1602325,2001,17,2.0872734,0,0,0,0
$3500,chicago,chicago city,2003 toyota camry solara convertible,excellent,4 cylinders,fwd,gas,14.6,white,NA,automatic,convertible,0,3500,8.1605186,2003,15,2.6810215,0,0,0,0
$2000,chicago,chicago suburbs,1999 toyota camry le,good,4 cylinders,fwd,gas,17.01991844177246,white,NA,automatic,NA,0,2000,7.6009026,1999,19,2.8343844,1,0,0,0
$2400,chicago,chicago suburbs,2001 TOYOTA CAMRY,excellent,4 cylinders,fwd,gas,18,grey,full-size,automatic,sedan,0,2400,7.7832241,2001,17,2.8903718,0,0,0,0
$1600,chicago,chicago city,1999 Toyota camry,NA,NA,NA,gas,17.01991844177246,NA,NA,automatic,NA,0,1600,7.377759,1999,19,2.8343844,0,0,0,0
$6999,los angeles,LA san gabriel,2009 toyota camry le 4dr sedan,NA,NA,NA,gas,12.76,NA,NA,automatic,NA,0,6999,8.8535223,2009,9,2.5463152,1,0,1,0
$800,chicago,chicago suburbs,1998 toyota camry,good,4 cylinders,fwd,gas,19.8,red,compact,automatic,NA,0,800,6.6846118,1998,20,2.985682,0,0,0,0
$13500,chicago,chicago city,2014 toyota camry,like new,NA,NA,gas,5,NA,NA,automatic,NA,0,13500,9.5104446,2014,4,1.6094379,0,0,0,0
$5000,chicago,chicago suburbs,2006 toyota camry solara,good,NA,fwd,gas,12.8694,black,NA,automatic,NA,0,5000,8.5171928,2006,12,2.5548525,0,0,0,0
$2600,chicago,chicago city,2001 toyota camry solara,NA,4 cylinders,fwd,gas,16.20146942138672,NA,NA,automatic,coupe,0,2600,7.8632669,2001,17,2.7851019,0,0,0,0
$6500,chicago,chicago city,2009 Toyota camry,NA,NA,NA,gas,16.45036315917969,NA,NA,automatic,NA,0,6500,8.7795572,2009,9,2.8003476,0,0,0,0
$11550,chicago,chicago W,2012 toyota camry se,excellent,4 cylinders,fwd,gas,4.233,black,NA,automatic,NA,0,11550,9.3544407,2012,6,1.4429109,0,0,1,0
